Date,Open,High,Low,Close
05-Dec-12,14052.67,14136.5,14033.53,14093.11
06-Dec-12,14166.81,14321.9,13937.5,14257.23
07-Dec-12,14327.88,14327.88,14120.25,14183.22
10-Dec-12,14210.78,14257.19,14172.99,14226.75
11-Dec-12,14266.45,14407.64,14061.27,14176.21
12-Dec-12,14208.72,14235.79,14102.19,14130.29
13-Dec-12,14171.65,14282.02,14058.15,14086.23
14-Dec-12,14056.2,14289.98,14056.2,14264.8
17-Dec-12,14254.06,14306.51,14242.92,14273.06
18-Dec-12,14317.97,14377.31,14008.11,14322.15
19-Dec-12,14396.78,14439.96,14310,14374.79
20-Dec-12,14390.84,14390.84,14237.07,14343.78
21-Dec-12,14280.97,14292.7,14119.42,14151.18
24-Dec-12,14270.44,14270.44,14101.79,14150.3
26-Dec-12,14193.89,14389.72,14146.37,14342.16
27-Dec-12,14376.85,14395.96,14298.92,14331.27
28-Dec-12,14326.6,14364.77,14260.69,14330.47
31-Dec-12,14321.6,14396.5,14292.26,14344.99
